iter	Passed	Remaining
475	1036	1141
476	1038	1138
477	1039	1135
478	1040	1132
479	1042	1128
480	1042	1125
481	1044	1122
482	1045	1119
483	1047	1116
484	1051	1116
485	1052	1113
486	1054	1111
487	1056	1108
488	1058	1106
489	1060	1104
490491	1063	1098
492	1065	1095
493	1067	1093
494	1069	1090
495	1070	1087
496	1072	1085
497	1073	10497498	1074	10498499	1078	1078
500	1081	1077
501	1084	1076
502	1086	1073
503	1088	1070
504	1090	1069
505	1092	1066
506	1095	1064
507	1097	1063
508	1100	1061
509	1102	1059
510	1103	1055
511	1105	1053
512	1107	1051
513	1108	1048
514	1110	1045
515	1113	1044
516	1115	10516517	1116	10517518	1117	10518519	1119	10519520	1122	10520521	1123	10521522	1125	10522	1127	1028
523	1129	10255524	1131	1023
525526	1133	10526527	1135	10527528	1136	10528529	1138	10529530	1139	10530531	1142	10531532	1146	1004
533	1147	1534	534	1149	9535535	1151	9536536	1152	9537537	1155	991
538	1156	989
539	1160	988
540	1162	985
541	1164	983
542	1166	982
543	1168	979
544	1169	976
545	1171	973
546	1174	972
547	1175	969
548	1177	967
549	1181	966
550	1183	964
551	1184	961
552	1187	960
553	1190	958
554	1192	955
555	1197	956
556	1199	953
557	1218	964
558	1224	965
559	1231	967
560	1235	966
561	1250	974
562	1253	972
563	1253	969
564	1258	969
565	1262	968
566	1264	965
567	1267	964
568	1272	963
569	1278	964
570	1281	962
571	1284	961
572	1286	958
573	1291	958
574	1297	959
575	1299	956
576	1301	953
577	1304	952
578	1307	951
579	1311	949
580	1314	947
581	1317	946
582	1319	943
583	1324	943
584	1328	942
585	1332	941
586	1334	939
587	1340	939
588	1345	938
589	1359	944
590	1361	942
591	1363	940
592	1366	937
593	1368	935
594	1371	933
595	1373	930
596	1374	927
597	1375	924
598	1377	922
599	1379	919
600	1380	916
601	1381	913
602	1384	911
603	1387	909
604	1389	907
605	1392	905
606	1393	902
607	1394	899
608	1396	896
609	1400	895
610	1402	892
611	1406	891
612	1409	889
613	1411	887
614	1413	885
615	1418	884
616	1419	881
617	1421	878
618	1424	876
619	1426	874
620	1427	871
621	1428	868
622	1430	865
623	1434	864
624	1437	862
625	1439	859
626	1441	857
627	1442	854
628	1445	852
629	1446	849
630	1448	847
631	1452	845
632	1453	842
633	1455	840
634	1457	837
635	1459	835
636	1461	832
637	1463	830
638	1465	827
639	1466	825
640	1468	822
641	1471	820
642	1472	817
643	1474	814
644	1475	812
645	1477	809
646	1479	807
647	1481	804
648	1483	802
649	1485	799
650	1486	796
651	1487	794
652	1489	791
653	1490	788
654	1491	785
655	1493	783
656	1495	780
657	1498	778
658	1500	776
659	1501	773
660	1504	771
661	1505	768
662	1507	766
663	1508	763
664	1511	761
665	1513	759
666	1515	756
667	1517	754
668	1518	751
669	1520	748
670	1521	746
671	1523	743
672	1525	741
673	1527	738
674	1529	736
675	1532	734
676	1533	731
677	1535	729
678	1537	726
679	1539	724
680	1541	721
681	1543	719
682	1547	718
683	1549	715
684	1550	712
685	1551	710
686	1553	707
687	1554	705
688	1557	702
689	1560	701
690	1562	698
691	1563	695
692	1565	693
693	1567	691
694	1569	688
695	1571	686
696	1573	684
697	1575	681
698	1578	679
699	1580	677
700	1581	674
701	1583	672
702	1584	669
703	1586	667
704	1588	664
705	1589	662
706	1592	659
707	1593	657
708	1595	654
709	1597	652
710	1599	649
711	1600	647
712	1601	644
713	1603	642
714	1604	639
715	1606	637
716	1608	634
717	1610	632
718	1612	630
719	1613	627
720	1615	625
721	1617	622
722	1618	620
723	1620	617
724	1623	615
725	1626	613
726	1628	611
727	1630	609
728	1632	606
729	1634	604
730	1635	601
731	1638	599
732	1639	597
733	1641	595
734	1644	592
735	1645	590
736	1646	587
737	1648	585
738	1649	582
739	1650	579
740	1652	577
741	1654	575
742	1656	573
743	1658	570
744	1660	568
745	1661	565
746	1663	563
747	1664	560
748	1666	558
749	1667	555
750	1670	553
751	1672	551
752	1674	549
753	1675	546
754	1676	544
755	1678	541
756	1679	539
757	1681	536
758	1682	534
759	1684	531
760	1686	529
761	1689	527
762	1691	525
763	1693	523
764	1695	520
765	1697	518
766	1698	516
767	1701	513
768	1703	511
769	1706	509
770	1708	507
771	1709	505
772	1711	502
773	1712	500
774	1714	497
775	1716	495
776	1717	492
777	1719	490
778	1721	488
779	1723	486
780	1725	483
781	1726	481
782	1728	478
783	1730	476
784	1731	474
785	1732	471
786	1734	469
787	1736	467
788	1739	465
789	1740	462
790	1741	460
791	1744	458
792	1745	455
793	1746	453
794	1748	450
795	1753	449
796	1755	447
797	1757	444
798	1758	442
799	1759	439
800	1760	437
801	1762	435
802	1764	432
803	1769	431
804	1770	428
805	1772	426
806	1773	424
807	1776	422
808	1779	420
809	1784	418
810	1790	417
811	1791	414
812	1792	412
813	1794	410
814	1796	407
815	1799	405
816	1801	403
817	1803	401
818	1804	398
819	1805	396
820	1806	393
821	1808	391
822	1809	389
823	1810	386
824	1812	384
825	1813	382
826	1816	379
827	1817	377
828	1818	375
829	1819	372
830	1821	370
831	1822	368
832	1824	365
833	1825	363
834	1827	361
835	1829	358
836	1831	356
837	1832	354
838	1833	351
839	1835	349
840	1836	347
841	1838	344
842	1839	342
843	1840	340
844	1842	337
845	1843	335
846	1844	333
847	1846	330
848	1848	328
849	1849	326
850	1850	324
851	1852	321
852	1853	319
853	1855	317
854	1856	314
855	1858	312
856	1859	310
857	1860	307
858	1861	305
859	1863	303
860	1864	300
861	1865	298
862	1866	296
863	1867	293
864	1868	291
865	1869	289
866	1871	287
867	1874	285
868	1875	282
869	1877	280
870	1878	278
871	1881	276
872	1883	273
873	1885	271
874	1886	269
875	1887	267
876	1889	264
877	1890	262
878	1892	260
879	1893	258
880	1895	255
881	1896	253
882	1897	251
883	1898	249
884	1900	246
885	1901	244
886	1902	242
887	1904	240
888	1904	237
889	1906	235
890	1907	233
891	1908	231
892	1910	228
893	1911	226
894	1912	224
895	1913	222
896	1914	219
897	1915	217
898	1916	215
899	1917	213
900	1918	210
901	1919	208
902	1920	206
903	1922	204
904	1923	201
905	1924	199
906	1925	197
907	1926	195
908	1927	192
909	1928	190
910	1929	188
911	1931	186
912	1931	184
913	1932	181
914	1933	179
915	1935	177
916	1936	175
917	1937	173
918	1938	170
919	1939	168
920	1941	166
921	1942	164
922	1944	162
923	1946	160
924	1947	157
925	1948	155
926	1949	153
927	1950	151
928	1951	149
929	1953	147
930	1955	144
931	1956	142
932	1957	140
933	1959	138
934	1960	136
935	1961	134
936	1962	131
937	1963	129
938	1964	127
939	1966	125
940	1967	123
941	1968	121
942	1969	119
943	1970	116
944	1972	114
945	1973	112
946	1974	110
947	1975	108
948	1976	106
949	1977	104
950	1978	101
951	1979	99
952	1980	97
953	1981	95
954	1982	93
955	1983	91
956	1985	89
957	1986	87
958	1987	84
959	1988	82
960	1989	80
961	1992	78
962	1992	76
963	1994	74
964	1995	72
965	1996	70
966	1997	68
967	1997	66
968	1998	63
969	1999	61
970	2000	59
971	2001	57
972	2002	55
973	2003	53
974	2004	51
975	2005	49
976	2006	47
977	2007	45
978	2008	43
979	2009	41
980	2009	38
981	2010	36
982	2011	34
983	2013	32
984	2013	30
985	2015	28
986	2015	26
987	2017	24
988	2019	22
989	2020	20
990	2021	18
991	2022	16
992	2023	14
993	2024	12
994	2025	10
995	2026	8
996	2027	6
997	2028	4
998	2029	2
999	2029	0
9	1971	0
